! User Name:	Aditya 
! Sample Name:	Device 2_PF 1T Training effect
! Sample ID:	FGT/CrPS4
! Date:	5/23/2022	Time:	3:21 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.000000	! Data points (0_maxT:75.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
5/23/2022	3:23 PM	0.1005784000	52.000	52.780	54.994	0.0000010000	-0.0000121405	5.5065942573E-9	0.0000262173	9.4425345123E-10	6.700	27.800
5/23/2022	3:24 PM	0.0955494800	42.300	118.010	120.000	0.0000010000	-0.0000121546	7.8811471135E-9	0.0000262180	4.7863046408E-10	20.100	43.900
5/23/2022	3:25 PM	0.0905205600	42.300	118.010	120.000	0.0000010000	-0.0000121210	6.4131214130E-9	0.0000262255	3.2247448714E-10	20.000	43.800
5/23/2022	3:25 PM	0.0854916400	42.300	118.010	120.000	0.0000010000	-0.0000121257	6.7518771498E-9	0.0000262243	6.3851648071E-10	20.000	43.700
5/23/2022	3:26 PM	0.0804627200	42.300	118.010	120.000	0.0000010000	-0.0000121389	6.4837320728E-9	0.0000262235	3.2247448714E-10	20.000	43.600
5/23/2022	3:27 PM	0.0754338000	42.300	118.010	120.000	0.0000010000	-0.0000121277	5.8991178384E-9	0.0000262360	6.2911671436E-10	20.000	43.400
5/23/2022	3:27 PM	0.0704048800	42.300	118.000	120.000	0.0000010000	-0.0000121504	6.8573429657E-9	0.0000262197	5.5259075049E-10	20.000	43.400
5/23/2022	3:28 PM	0.0653759600	42.300	118.010	120.000	0.0000010000	-0.0000121418	8.4402036144E-9	0.0000262252	1.4519202405E-9	20.000	43.400
5/23/2022	3:29 PM	0.0603470400	42.300	118.010	120.000	0.0000010000	-0.0000121459	5.9816996291E-9	0.0000262145	4.6159098630E-10	20.000	43.400
5/23/2022	3:29 PM	0.0553181200	42.300	118.010	120.000	0.0000010000	-0.0000121450	3.6533025799E-9	0.0000261918	2.4420076857E-9	20.000	43.200
5/23/2022	3:30 PM	0.0502892000	42.300	118.010	120.000	0.0000010000	-0.0000121323	4.2637906240E-9	0.0000262239	7.7017805882E-10	19.900	43.200
5/23/2022	3:31 PM	0.0452602800	42.300	118.010	120.000	0.0000010000	-0.0000121487	6.0753295683E-9	0.0000261823	2.3108154104E-9	19.900	43.200
5/23/2022	3:31 PM	0.0402313600	42.300	118.010	120.000	0.0000010000	-0.0000121366	5.0986749043E-9	0.0000262150	1.0918007434E-9	19.900	43.100
5/23/2022	3:32 PM	0.0352024400	42.300	118.000	120.000	0.0000010000	-0.0000121490	6.6451111214E-9	0.0000262226	4.9154759474E-10	19.900	43.000
5/23/2022	3:32 PM	0.0301735200	42.300	118.000	120.000	0.0000010000	-0.0000121423	5.0601647332E-9	0.0000262038	8.0428200203E-10	19.900	43.000
5/23/2022	3:33 PM	0.0251446000	42.300	118.000	120.000	0.0000010000	-0.0000121445	4.5233442387E-9	0.0000262042	8.2540150734E-10	19.900	42.900
5/23/2022	3:34 PM	0.0201156800	42.300	118.000	120.000	0.0000010000	-0.0000121316	6.7265940652E-9	0.0000262095	8.3804616516E-10	19.900	42.800
